The Night Agent: Season 1;812100000
Ginny & Georgia: Season 2;665100000
The Glory: Season 1 // ? ???: ?? 1;622800000
Wednesday: Season 1;507700000
Queen Charlotte: A Bridgerton Story;503000000
You: Season 4;440600000
La Reina del Sur: Season 3;429600000
Outer Banks: Season 3;402500000
Ginny & Georgia: Season 1;302100000
FUBAR: Season 1;266200000
Manifest: Season 4;262600000
Kaleidoscope: Limited Series;252500000
Firefly Lane: Season 2;251500000
The Mother;249900000
Physical: 100: Season 1 // ???: 100: ?? 1;235000000
Crash Course in Romance: Limited Series // ?? ???: ???? ???;234800000
Love Is Blind: Season 4;229700000
BEEF: Season 1;221100000
The Diplomat: Season 1;214100000
Luther: The Fallen Sun;209700000
Fake Profile: Season 1 // Perfil falso: Temporada 1;206500000
Vikings: Valhalla: Season 2;205500000
Extraction 2;201800000
XO, Kitty: Season 1;200700000
Doctor Cha: Limited Series // ?? ???: ???? ???;194700000
Shadow and Bone: Season 2;192900000
Outer Banks: Season 1;184000000
Sweet Tooth: Season 2;182300000
You People;181800000
Perfect Match: Season 1;176800000
Sex/Life: Season 2;175500000
The Marked Heart: Season 2 // Pálpito: Temporada 2;174300000
Murder Mystery 2;173600000
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1;172400000
Pablo Escobar, el patrón del mal:  Season 1;170100000
Never Have I Ever: Season 4;168300000
Your Place or Mine;163000000
Chiquititas (2013);162000000
Emily in Paris: Season 3;161100000
Alice in Borderland: Season 2 // ????????: ????2;157600000
Alchemy of Souls: Part 1 // ??: ?? 1;155300000
Outer Banks: Season 2;153900000
New Amsterdam (2018): Season 1;153000000
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1;152100000
Mr. Queen // ????;151500000
Manifest: Season 1;151400000
Alchemy of Souls: Part 2 // ??:?? 2;150200000
PAW Patrol: Season 6;149300000
The Good Bad Mother: Limited Series // ????: ???? ???;148600000
The Recruit: Season 1;146900000
Bloodhounds: Season 1 // ????: ?? 1;146700000
Glass Onion: A Knives Out Mystery;142900000
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2;140100000
Black Mirror: Season 6;139900000
Triptych: Season 1 // Tríada: Temporada 1;139300000
The Walking Dead: Season 11;136800000
Bridgerton: Season 1;136600000
CoComelon: Season 1;136200000
Extraordinary Attorney Woo: Season 1 // ??? ??? ???: ?? 1;135900000
The Snow Girl: Season 1 // La chica de nieve: Temporada 1;134800000
Stranger Things 4;133600000
The Marked Heart: Season 1 // Pálpito: Temporada 1;133500000
Bridgerton: Season 2;133400000
Little Angel: Volume 1;132100000
PAW Patrol: Season 5;130700000
Pasión de Gavilanes: Season 1;129200000
Suits (2011): Season 1;129100000
Sex/Life: Season 1;126400000
We Have a Ghost;124400000
You: Season 1;123500000
Business Proposal: Season 1 // ????: ?? 1;120700000
The Pale Blue Eye;120500000
Crash Landing on You: Season 1 // ??? ???: ?? 1;120300000
AKA;120000000
MH370: The Plane That Disappeared: Limited Series;118900000
Queenmaker: Season 1 // ????: ?? 1;118600000
Vikings: Valhalla: Season 1;116500000
Breaking Bad: Season 2;116200000
Muted: Limited Series // El silencio: Miniserie;115800000
Lockwood & Co.: Season 1;113600000
You: Season 3;107200000
Breaking Bad: Season 5;107000000
Suits (2011): Season 2;106600000
Murdaugh Murders: A Southern Scandal: Season 1;104600000
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2;104500000
Breaking Bad: Season 3;104300000
Lucifer: Season 3;102800000
CoComelon: Season 2;102300000
Café con aroma de mujer: Season 1;101700000
Love to Hate You: Season 1 // ????: ?? 1;99900000
The Blacklist: Season 1;99900000
Shadow and Bone: Season 1;99500000
The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1;99000000
Designated Survivor: Season 1;98500000
The Interest of Love: Limited Series // ??? ??: ???? ???;97800000
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1;97600000
Minions: The Rise of Gru;96400000
Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // ????: ????? ???;95800000
The Blacklist: Season 9;95700000
That '90s Show: Part 1;95100000
You: Season 2;95000000
La Reina del Sur: Season 1;94700000
All of Us Are Dead: Season 1 // ?? ?? ???: ?? 1;94600000
New Amsterdam (2018): Season 2;94400000
Black Knight: Season 1 // ????: ?? 1;94300000
Breaking Bad: Season 4;94300000
Obsession: Limited Series;94200000
Who Were We Running From?: Limited Series // Biz Kimden Kaç?yorduk Anne?: Mini Dizi;92900000
La Reina del Sur: Season 2;92500000
Hunger // ????? ?????????;92300000
Alice in Borderland: Season 1 // ????????: ????1;92200000
CoComelon: Season 3;91400000
Firefly Lane: Season 1;91200000
Women at War: Limited Series // Les Combattantes: Mini-série;90800000
Formula 1: Drive to Survive: Season 5;90200000
Sweet Tooth: Season 1;89000000
S.W.A.T. (2017): Season 1;88600000
Murder Mystery;87900000
True Beauty // ????;87300000
Squid Game: Season 1 // ??? ??: ?? 1;87200000
Little Angel: Volume 2;86200000
Manifest: Season 2;86200000
Extraction;86100000
Lucifer: Season 2;86100000
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie;86000000
Woman of the Dead: Season 1 // Totenfrau: Season 1;85400000
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1;85000000
Florida Man: Limited Series;84600000
